Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",unresolved,2023-04-28T08:59:51.762607Z,high,low,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 153, 'column': 726, 'end_line': 153, 'end_column': 748}"
javascript.browser.security.insecure-document-method.insecure-document-method,"User controlled data in methods like `innerHTML`, `outerHTML` or `document.write` is an anti-pattern that can lead to XSS vulnerabilities",unresolved,2023-04-28T08:59:51.762603Z,high,low,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/static/loader.js', 'line': 153, 'column': 773, 'end_line': 153, 'end_column': 795}"
python.django.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using the Django object-relational mappers (ORM) instead of raw SQL queries.",unresolved,2023-04-28T08:59:51.762599Z,high,low,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 261, 'column': 33, 'end_line': 261, 'end_column': 124}"
python.flask.deserialization.tainted-pyyaml-flask.tainted-pyyaml-flask,"Insecure deserialization (called pickling in python) is when user-controllable data is deserialized by an application. This potentially enables an attacker to manipulate serialized objects in order to pass harmful data into the application code and may result in arbitrary code execution, OS command injection or DoS. Many deserialization-based attacks are completed before deserialization is finished. This means that the deserialization process itself can initiate an attack, even if the app's own functionality does not directly interact with the malicious object. PyYAML's `yaml` module is as powerful as `pickle` and so may call any Python function. It is recommended to secure your application by using `yaml.SafeLoader` or `yaml.CSafeLoader`.",unresolved,2023-04-28T08:59:51.762596Z,high,high,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 329, 'column': 17, 'end_line': 329, 'end_column': 29}"
python.flask.security.dangerous-template-string.dangerous-template-string,Found a template created with string formatting. This is susceptible to server-side template injection and cross-site scripting attacks.,unresolved,2023-04-28T08:59:51.762592Z,high,low,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 103, 'column': 5, 'end_line': 114, 'end_column': 89}"
python.flask.security.dangerous-template-string.dangerous-template-string,Found a template created with string formatting. This is susceptible to server-side template injection and cross-site scripting attacks.,unresolved,2023-04-28T08:59:51.762589Z,high,low,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 271, 'column': 21, 'end_line': 281, 'end_column': 100}"
python.flask.security.injection.tainted-sql-string.tainted-sql-string,"Detected user input used to manually construct a SQL string. This is usually bad practice because manual construction could accidentally result in a SQL injection. An attacker could use a SQL injection to steal or modify contents of the database. Instead, use a parameterized query which is available by default in most database engines. Alternatively, consider using an object-relational mapper (ORM) such as SQLAlchemy which will protect your queries.",unresolved,2023-04-28T08:59:51.762585Z,high,medium,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 261, 'column': 33, 'end_line': 261, 'end_column': 124}"
python.flask.security.insecure-deserialization.insecure-deserialization,"Detected the use of an insecure deserialization library in a Flask route. These libraries are prone to code execution vulnerabilities. Ensure user data does not enter this function. To fix this, try to avoid serializing whole objects. Consider instead using a serializer such as JSON.",unresolved,2023-04-28T08:59:51.762582Z,high,low,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 329, 'column': 17, 'end_line': 329, 'end_column': 29}"
python.jwt.security.jwt-hardcode.jwt-python-hardcoded-secret,Hardcoded JWT secret or private key is used. This is a Insufficiently Protected Credentials weakness: https://cwe.mitre.org/data/definitions/522.html Consider using an appropriate security mechanism to protect the credentials (e.g. keeping secrets in environment variables),unresolved,2023-04-28T08:59:51.762578Z,high,high,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 184, 'column': 176, 'end_line': 184, 'end_column': 193}"
python.jwt.security.unverified-jwt-decode.unverified-jwt-decode,Detected JWT token decoded with 'verify=False'. This bypasses any integrity checks for the token which means the token could be tampered with by malicious actors. Ensure that the JWT token is verified.,unresolved,2023-04-28T08:59:51.762575Z,high,medium,untriaged,,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 97, 'column': 15, 'end_line': 97, 'end_column': 48}"
python.sqlalchemy.security.sqlalchemy-execute-raw-query.sqlalchemy-execute-raw-query,"Avoiding SQL string concatenation: untrusted input concatenated with raw SQL query can result in SQL Injection. In order to execute raw query safely, prepared statement should be used. SQLAlchemy provides TextualSQL to easily used prepared statement with named parameters. For complex SQL composition, use SQL Expression Language or Schema Definition Language. In most cases, SQLAlchemy ORM will be a better option.",unresolved,2023-04-28T08:59:51.762571Z,high,low,ignored,2024-02-24 16:25:20.395073+00:00,,,"{'name': 'Nitin-Vulnerable-Flask-App', 'url': 'https://github.com/we45/Vulnerable-Flask-App'}","{'file_path': 'app/app.py', 'line': 265, 'column': 36, 'end_line': 265, 'end_column': 64}"
