Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
generic.secrets.security.detected-private-key.detected-private-key,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file.",unresolved,2024-01-02T14:43:07.723815Z,high,low,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/resources/keyStore.pem', 'line': 5, 'column': 1, 'end_line': 6, 'end_column': 59}"
java.servlets.security.crlf-injection-logs-deepsemgrep.crlf-injection-logs-deepsemgrep,"When data from an untrusted source is put into a logger and not neutralized correctly, an attacker could forge log entries or include malicious content.",unresolved,2024-01-02T14:43:07.723811Z,high,medium,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/api/jwt/JwtLog4jController.java', 'line': 24, 'column': 13, 'end_line': 24, 'end_column': 63}"
java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);',unresolved,2024-01-02T14:43:07.723808Z,medium,low,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,"A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'new Cookie(""XLOGINID"", cookieCode).setSecure(true);'",unresolved,2024-01-02T14:43:07.723804Z,medium,low,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-httponly.cookie-missing-httponly,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);',unresolved,2024-01-02T14:43:07.723801Z,medium,high,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-samesite.cookie-missing-samesite,"The application does not appear to verify inbound requests which can lead to a Cross-site request forgery (CSRF) vulnerability. If the application uses cookie-based authentication, an attacker can trick users into sending authenticated HTTP requests without their knowledge from any arbitrary domain they visit. To prevent this vulnerability start by identifying if the framework or library leveraged has built-in features or offers plugins for CSRF protection. CSRF tokens should be unique and securely random. The `Synchronizer Token` or `Double Submit Cookie` patterns with defense-in-depth mechanisms such as the `sameSite` cookie flag can help prevent CSRF. For more information, see: [Cross-site request forgery prevention](https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html)",unresolved,2024-01-02T14:43:07.723797Z,medium,high,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,"A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'new Cookie(""XLOGINID"", cookieCode).setSecure(true);'",unresolved,2024-01-02T14:43:07.723794Z,medium,high,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,CSRF protection is disabled for this configuration. This is a security risk.,unresolved,2024-01-02T14:43:07.723790Z,medium,low,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/MultiHttpSecurityConfig.java', 'line': 47, 'column': 13, 'end_line': 50, 'end_column': 42}"
java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,CSRF protection is disabled for this configuration. This is a security risk.,unresolved,2024-01-02T14:43:07.723786Z,medium,low,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/MultiHttpSecurityConfig.java', 'line': 88, 'column': 13, 'end_line': 91, 'end_column': 38}"
java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,CSRF protection is disabled for this configuration. This is a security risk.,unresolved,2024-01-02T14:43:07.723783Z,medium,low,untriaged,,,,"{'name': 'javaspringvulny', 'url': 'https://github.com/Nitin-Personal/javaspringvulny.git'}","{'file_path': 'src/main/java/hawk/MultiHttpSecurityConfig.java', 'line': 110, 'column': 13, 'end_line': 112, 'end_column': 38}"
