Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
dockerfile.security.missing-user-entrypoint.missing-user-entrypoint,"By not specifying a USER, a program in the container may run as 'root'. This is a security hazard. If an attacker can control a process running as root, they may have control over the container. Ensure that the last USER in a Dockerfile is a USER other than 'root'.",unresolved,2023-07-28T10:50:40.949646Z,high,medium,untriaged,,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'webapp/src/main/docker/Dockerfile', 'line': 6, 'column': 1, 'end_line': 6, 'end_column': 86}"
java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,A formatted or concatenated string was detected as input to a ProcessBuilder call. This is dangerous if a variable is controlled by user input and could result in a command injection. Ensure your variables are not controlled by users or sufficiently sanitized.,unresolved,2023-07-28T10:50:40.949644Z,high,low,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'cli/src/main/java/com/box/l10n/mojito/cli/command/RetryCommand.java', 'line': 131, 'column': 5, 'end_line': 131, 'end_column': 38}"
java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,A formatted or concatenated string was detected as input to a ProcessBuilder call. This is dangerous if a variable is controlled by user input and could result in a command injection. Ensure your variables are not controlled by users or sufficiently sanitized.,unresolved,2023-07-28T10:50:40.949641Z,high,low,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'common/src/main/java/com/box/l10n/mojito/shell/Shell.java', 'line': 21, 'column': 7, 'end_line': 21, 'end_column': 47}"
java.lang.security.audit.formatted-sql-string.formatted-sql-string,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,unresolved,2023-07-28T10:50:40.949638Z,high,medium,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'webapp/src/main/java/com/box/l10n/mojito/nativecriteria/JpaQueryProvider.java', 'line': 17, 'column': 36, 'end_line': 17, 'end_column': 61}"
java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,"DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities declarations. This can be done by setting the features ""http://xml.org/sax/features/external-general-entities"" and ""http://xml.org/sax/features/external-parameter-entities"" to false.",unresolved,2023-07-28T10:50:40.949636Z,high,high,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'common/src/main/java/com/box/l10n/mojito/okapi/filters/XMLFilter.java', 'line': 95, 'column': 7, 'end_line': 95, 'end_column': 46}"
java.lang.security.audit.xxe.documentbuilderfactory-disallow-doctype-decl-missing.documentbuilderfactory-disallow-doctype-decl-missing,"DOCTYPE declarations are enabled for this DocumentBuilderFactory. This is vulnerable to XML external entity attacks. Disable this by setting the feature ""http://apache.org/xml/features/disallow-doctype-decl"" to true. Alternatively, allow DOCTYPE declarations and only prohibit external entities declarations. This can be done by setting the features ""http://xml.org/sax/features/external-general-entities"" and ""http://xml.org/sax/features/external-parameter-entities"" to false.",unresolved,2023-07-28T10:50:40.949633Z,high,high,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'webapp/src/main/java/com/box/l10n/mojito/android/strings/AndroidStringDocumentUtils.java', 'line': 15, 'column': 5, 'end_line': 15, 'end_column': 57}"
java.servlets.security.crlf-injection-logs-deepsemgrep.crlf-injection-logs-deepsemgrep,"When data from an untrusted source is put into a logger and not neutralized correctly, an attacker could forge log entries or include malicious content.",unresolved,2023-07-28T10:50:40.949630Z,high,medium,untriaged,,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'webapp/src/main/java/com/box/l10n/mojito/security/ShowPageAuthenticationSuccessHandler.java', 'line': 30, 'column': 5, 'end_line': 30, 'end_column': 69}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-07-28T10:50:40.949628Z,high,low,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'webapp/src/main/resources/templates/index.html', 'line': 8, 'column': 27, 'end_line': 8, 'end_column': 40}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-07-28T10:50:40.949624Z,high,low,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'webapp/src/main/resources/templates/index.html', 'line': 9, 'column': 27, 'end_line': 9, 'end_column': 40}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-07-28T10:50:40.949622Z,high,low,ignored,2024-02-24 16:24:06.574838+00:00,,,"{'name': 'mojito', 'url': 'https://github.com/nnayar-r2c/mojito'}","{'file_path': 'webapp/src/main/resources/templates/index.html', 'line': 15, 'column': 45, 'end_line': 15, 'end_column': 60}"
