Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
terraform.aws.security.aws-subnet-has-public-ip-address.aws-subnet-has-public-ip-address,"Resources in the AWS subnet are assigned a public IP address. Resources should not be exposed on the public internet, but should have access limited to consumers required for the function of your application. Set `map_public_ip_on_launch` to false so that resources are not publicly-accessible.",unresolved,2023-12-22T21:15:47.765014Z,medium,medium,untriaged,,,,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'reverse_shell/main.tf', 'line': 33, 'column': 1, 'end_line': 41, 'end_column': 2}"
generic.secrets.security.detected-jwt-token.detected-jwt-token,JWT token detected,unresolved,2023-12-22T21:15:47.710869Z,high,low,untriaged,,,2023-12-22 21:15:47.706597+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'exercises/02-xss.md', 'line': 65, 'column': 12, 'end_line': 65, 'end_column': 53}"
java.lang.security.audit.command-injection-process-builder.command-injection-process-builder,A formatted or concatenated string was detected as input to a ProcessBuilder call. This is dangerous if a variable is controlled by user input and could result in a command injection. Ensure your variables are not controlled by users or sufficiently sanitized.,unresolved,2023-12-22T21:15:47.710869Z,high,low,untriaged,,,2023-12-22 21:15:47.706404+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/Cowsay.java', 'line': 11, 'column': 5, 'end_line': 11, 'end_column': 46}"
java.lang.security.audit.formatted-sql-string.formatted-sql-string,Detected a formatted string in a SQL statement. This could lead to SQL injection if variables in the SQL statement are not properly sanitized. Use a prepared statements (java.sql.PreparedStatement) instead. You can obtain a PreparedStatement using 'connection.prepareStatement'.,unresolved,2023-12-22T21:15:47.710869Z,high,medium,untriaged,,,2023-12-22 21:15:47.706436+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'src/main/java/com/scalesec/vulnado/User.java', 'line': 49, 'column': 22, 'end_line': 49, 'end_column': 46}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-12-22T21:15:47.710869Z,high,low,untriaged,,,2023-12-22 21:15:47.706703+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'client/index.html', 'line': 63, 'column': 41, 'end_line': 63, 'end_column': 47}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-12-22T21:15:47.710869Z,high,low,untriaged,,,2023-12-22 21:15:47.706724+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'client/index.html', 'line': 67, 'column': 23, 'end_line': 67, 'end_column': 35}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-12-22T21:15:47.710869Z,high,low,untriaged,,,2023-12-22 21:15:47.706740+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'client/index.html', 'line': 67, 'column': 58, 'end_line': 67, 'end_column': 72}"
python.django.security.audit.xss.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-12-22T21:15:47.710869Z,high,low,untriaged,,,2023-12-22 21:15:47.706756+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'client/index.html', 'line': 73, 'column': 37, 'end_line': 73, 'end_column': 45}"
generic.html-templates.security.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-12-22T21:15:47.710869Z,medium,low,untriaged,,,2023-12-22 21:15:47.706468+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'client/index.html', 'line': 63, 'column': 41, 'end_line': 63, 'end_column': 47}"
generic.html-templates.security.var-in-script-tag.var-in-script-tag,"Detected a template variable used in a script tag. Although template variables are HTML escaped, HTML escaping does not always prevent cross-site scripting (XSS) attacks when used directly in JavaScript. If you need this data on the rendered page, consider placing it in the HTML portion (outside of a script tag). Alternatively, use a JavaScript-specific encoder, such as the one available in OWASP ESAPI. For Django, you may also consider using the 'json_script' template tag and retrieving the data in your script by using the element ID (e.g., `document.getElementById`).",unresolved,2023-12-22T21:15:47.710869Z,medium,low,untriaged,,,2023-12-22 21:15:47.706484+00:00,"{'name': 'nnayar-r2c/new-vulnado', 'url': 'https://github.com/nnayar-r2c/new-vulnado'}","{'file_path': 'client/index.html', 'line': 67, 'column': 23, 'end_line': 67, 'end_column': 35}"
