Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
generic.secrets.security.detected-private-key.detected-private-key,"Private Key detected. This is a sensitive credential and should not be hardcoded here. Instead, store this in a separate, private file.",unresolved,2023-10-11T09:49:15.041290Z,high,low,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/resources/keyStore.pem', 'line': 5, 'column': 1, 'end_line': 6, 'end_column': 59}"
java.servlets.security.crlf-injection-logs-deepsemgrep.crlf-injection-logs-deepsemgrep,"When data from an untrusted source is put into a logger and not neutralized correctly, an attacker could forge log entries or include malicious content.",unresolved,2023-10-11T09:49:15.041287Z,high,medium,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/api/jwt/JwtLog4jController.java', 'line': 24, 'column': 13, 'end_line': 24, 'end_column': 63}"
java.spring.security.audit.spring-actuator-fully-enabled.spring-actuator-fully-enabled,"Spring Boot Actuator is fully enabled. This exposes sensitive endpoints such as /actuator/env, /actuator/logfile, /actuator/heapdump and others. Unless you have Spring Security enabled or another means to protect these endpoints, this functionality is available without authentication, causing a significant security risk.",unresolved,2023-10-11T09:49:15.041284Z,high,medium,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/resources/application-postgresql.properties', 'line': 36, 'column': 1, 'end_line': 36, 'end_column': 44}"
java.lang.security.audit.cookie-missing-httponly.cookie-missing-httponly,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);',unresolved,2023-10-11T09:49:15.041281Z,medium,low,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.lang.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,"A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'new Cookie(""XLOGINID"", cookieCode).setSecure(true);'",unresolved,2023-10-11T09:49:15.041278Z,medium,low,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-httponly.cookie-missing-httponly,A cookie was detected without setting the 'HttpOnly' flag. The 'HttpOnly' flag for cookies instructs the browser to forbid client-side scripts from reading the cookie. Set the 'HttpOnly' flag by calling 'cookie.setHttpOnly(true);',unresolved,2023-10-11T09:49:15.041275Z,medium,high,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-samesite.cookie-missing-samesite,"The application does not appear to verify inbound requests which can lead to a Cross-site request forgery (CSRF) vulnerability. If the application uses cookie-based authentication, an attacker can trick users into sending authenticated HTTP requests without their knowledge from any arbitrary domain they visit. To prevent this vulnerability start by identifying if the framework or library leveraged has built-in features or offers plugins for CSRF protection. CSRF tokens should be unique and securely random. The `Synchronizer Token` or `Double Submit Cookie` patterns with defense-in-depth mechanisms such as the `sameSite` cookie flag can help prevent CSRF. For more information, see: [Cross-site request forgery prevention](https://cheatsheetseries.owasp.org/cheatsheets/Cross-Site_Request_Forgery_Prevention_Cheat_Sheet.html)",unresolved,2023-10-11T09:49:15.041272Z,medium,high,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.servlets.security.audit.cookie-missing-secure-flag.cookie-missing-secure-flag,"A cookie was detected without setting the 'secure' flag. The 'secure' flag for cookies prevents the client from transmitting the cookie over insecure channels such as HTTP. Set the 'secure' flag by calling 'new Cookie(""XLOGINID"", cookieCode).setSecure(true);'",unresolved,2023-10-11T09:49:15.041269Z,medium,high,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/controller/LoginController.java', 'line': 57, 'column': 9, 'end_line': 57, 'end_column': 60}"
java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,CSRF protection is disabled for this configuration. This is a security risk.,unresolved,2023-10-11T09:49:15.041266Z,medium,low,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/MultiHttpSecurityConfig.java', 'line': 47, 'column': 13, 'end_line': 50, 'end_column': 42}"
java.spring.security.audit.spring-csrf-disabled.spring-csrf-disabled,CSRF protection is disabled for this configuration. This is a security risk.,unresolved,2023-10-11T09:49:15.041263Z,medium,low,untriaged,,,,"{'name': 'pro-engine-demo', 'url': 'https://github.com/nnayar-r2c/pro-engine'}","{'file_path': 'src/main/java/hawk/MultiHttpSecurityConfig.java', 'line': 88, 'column': 13, 'end_line': 91, 'end_column': 38}"
