Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
generic.secrets.gitleaks.generic-api-key.generic-api-key,"A gitleaks generic-api-key was detected which attempts to identify hard-coded credentials.  It is not recommended to store credentials in source-code, as this risks secrets being leaked  and used by either an internal or external malicious adversary. It is recommended to use  environment variables to securely provide credentials or retrieve credentials from a  secure vault or HSM (Hardware Security Module). This rule can introduce a lot of false positives,  it is not recommended to be used in PR comments.",unresolved,2024-01-08T21:45:56.911537Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'data/static/users.yml', 'line': 88, 'column': 14, 'end_line': 88, 'end_column': 50}"
generic.secrets.gitleaks.generic-api-key.generic-api-key,"A gitleaks generic-api-key was detected which attempts to identify hard-coded credentials.  It is not recommended to store credentials in source-code, as this risks secrets being leaked  and used by either an internal or external malicious adversary. It is recommended to use  environment variables to securely provide credentials or retrieve credentials from a  secure vault or HSM (Hardware Security Module). This rule can introduce a lot of false positives,  it is not recommended to be used in PR comments.",unresolved,2024-01-08T21:45:56.911533Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'data/static/users.yml', 'line': 150, 'column': 15, 'end_line': 150, 'end_column': 47}"
generic.secrets.gitleaks.generic-api-key.generic-api-key,"A gitleaks generic-api-key was detected which attempts to identify hard-coded credentials.  It is not recommended to store credentials in source-code, as this risks secrets being leaked  and used by either an internal or external malicious adversary. It is recommended to use  environment variables to securely provide credentials or retrieve credentials from a  secure vault or HSM (Hardware Security Module). This rule can introduce a lot of false positives,  it is not recommended to be used in PR comments.",unresolved,2024-01-08T21:45:56.911530Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'frontend/src/app/oauth/oauth.component.spec.ts', 'line': 85, 'column': 88, 'end_line': 85, 'end_column': 108}"
generic.secrets.gitleaks.generic-api-key.generic-api-key,"A gitleaks generic-api-key was detected which attempts to identify hard-coded credentials.  It is not recommended to store credentials in source-code, as this risks secrets being leaked  and used by either an internal or external malicious adversary. It is recommended to use  environment variables to securely provide credentials or retrieve credentials from a  secure vault or HSM (Hardware Security Module). This rule can introduce a lot of false positives,  it is not recommended to be used in PR comments.",unresolved,2024-01-08T21:45:56.911526Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'frontend/src/app/oauth/oauth.component.spec.ts', 'line': 85, 'column': 128, 'end_line': 85, 'end_column': 148}"
generic.secrets.gitleaks.generic-api-key.generic-api-key,"A gitleaks generic-api-key was detected which attempts to identify hard-coded credentials.  It is not recommended to store credentials in source-code, as this risks secrets being leaked  and used by either an internal or external malicious adversary. It is recommended to use  environment variables to securely provide credentials or retrieve credentials from a  secure vault or HSM (Hardware Security Module). This rule can introduce a lot of false positives,  it is not recommended to be used in PR comments.",unresolved,2024-01-08T21:45:56.911523Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'frontend/src/app/oauth/oauth.component.spec.ts', 'line': 92, 'column': 89, 'end_line': 92, 'end_column': 109}"
generic.secrets.gitleaks.generic-api-key.generic-api-key,"A gitleaks generic-api-key was detected which attempts to identify hard-coded credentials.  It is not recommended to store credentials in source-code, as this risks secrets being leaked  and used by either an internal or external malicious adversary. It is recommended to use  environment variables to securely provide credentials or retrieve credentials from a  secure vault or HSM (Hardware Security Module). This rule can introduce a lot of false positives,  it is not recommended to be used in PR comments.",unresolved,2024-01-08T21:45:56.911519Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'routes/login.ts', 'line': 66, 'column': 156, 'end_line': 66, 'end_column': 192}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-08T21:45:56.911516Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'frontend/src/app/change-password/change-password.component.html', 'line': 33, 'column': 17, 'end_line': 33, 'end_column': 43}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-08T21:45:56.911512Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'frontend/src/app/change-password/change-password.component.html', 'line': 51, 'column': 17, 'end_line': 51, 'end_column': 55}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-08T21:45:56.911509Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'frontend/src/app/forgot-password/forgot-password.component.html', 'line': 53, 'column': 17, 'end_line': 53, 'end_column': 43}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-08T21:45:56.911505Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/js-app', 'url': 'https://github.com/Semgrep-Demo/js-app'}","{'file_path': 'frontend/src/app/forgot-password/forgot-password.component.html', 'line': 66, 'column': 23, 'end_line': 66, 'end_column': 55}"
