Finding Title,Finding Description & Remediation,state,First Seen,severity,confidence,triage_state,triaged_at,triage_comment,state_updated_at,repository,location
java.spring.security.injection.tainted-sql-string.tainted-sql-string,"User data flows into this manually-constructed SQL string. User data can be safely inserted into SQL strings using prepared statements or an object-relational mapper (ORM). Manually-constructed SQL strings is a possible indicator of SQL injection, which could let an attacker steal or manipulate data from the database. Instead, use prepared statements (`connection.PreparedStatement`) or a safe library.",unresolved,2024-01-17T03:58:29.773968Z,high,medium,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/java/hawk/service/UserSearchService.java', 'line': 30, 'column': 28, 'end_line': 31, 'end_column': 50}"
python.django.security.django-no-csrf-token.django-no-csrf-token,Manually-created forms in django templates should specify a csrf_token to prevent CSRF attacks,unresolved,2024-01-10T03:58:39.339708Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/resources/templates/general.html', 'line': 30, 'column': 13, 'end_line': 32, 'end_column': 20}"
python.django.security.django-no-csrf-token.django-no-csrf-token,Manually-created forms in django templates should specify a csrf_token to prevent CSRF attacks,unresolved,2024-01-10T03:58:39.339705Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/resources/templates/login-form-multi.html', 'line': 15, 'column': 13, 'end_line': 33, 'end_column': 20}"
python.django.security.django-no-csrf-token.django-no-csrf-token,Manually-created forms in django templates should specify a csrf_token to prevent CSRF attacks,unresolved,2024-01-10T03:58:39.339702Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/resources/templates/login.html', 'line': 15, 'column': 13, 'end_line': 28, 'end_column': 20}"
python.django.security.django-no-csrf-token.django-no-csrf-token,Manually-created forms in django templates should specify a csrf_token to prevent CSRF attacks,unresolved,2024-01-10T03:58:39.339698Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/resources/templates/search.html', 'line': 14, 'column': 13, 'end_line': 20, 'end_column': 20}"
python.django.security.django-no-csrf-token.django-no-csrf-token,Manually-created forms in django templates should specify a csrf_token to prevent CSRF attacks,unresolved,2024-01-10T03:58:39.339688Z,medium,medium,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'src/main/resources/templates/user-search.html', 'line': 14, 'column': 13, 'end_line': 20, 'end_column': 20}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-09T03:58:32.048056Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'integration_tests/conf_files/stackhawk-jsv-json-token.yml', 'line': 20, 'column': 11, 'end_line': 21, 'end_column': 1}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-09T03:58:32.048053Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'stackhawk-actions.yml', 'line': 22, 'column': 11, 'end_line': 23, 'end_column': 1}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-09T03:58:32.048050Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'stackhawk.d/stackhawk-auth-form-cookie.yml', 'line': 14, 'column': 11, 'end_line': 15, 'end_column': 1}"
generic.secrets.gitleaks.hashicorp-tf-password.hashicorp-tf-password,"A gitleaks hashicorp-tf-password was detected which attempts to identify hard-coded credentials. It is not recommended to store credentials in source-code, as this risks secrets being leaked and used by either an internal or external malicious adversary. It is recommended to use environment variables to securely provide credentials or retrieve credentials from a secure vault or HSM (Hardware Security Module).",unresolved,2024-01-09T03:58:32.048046Z,low,low,untriaged,,,,"{'name': 'Semgrep-Demo/pro-engine-demo', 'url': 'https://github.com/Semgrep-Demo/pro-engine-demo'}","{'file_path': 'stackhawk.d/stackhawk-auth-json-token.yml', 'line': 14, 'column': 11, 'end_line': 15, 'end_column': 1}"
